word,id
notice,6
son,6
speeding,6
job,6
tree,6
broomsticks,6
hurry,6
hurrying,6
“Is,6
"bed,",6
thousands,6
"glass,",6
"no,”",6
clothes,6
Someone,6
mountain,6
Are,6
Hermione’s,6
ears,6
"tall,",6
tall,6
brown,6
"corridor,",6
possible,6
pinned,6
ignored,6
motorcycle,6
trophy,6
nearest,6
"whisper,",6
list,6
youngest,6
girl,6
split,6
"Hagrid,”",6
water,6
growled,6
"now,”",6
"expelled,",6
interesting,6
egg,6
"afternoon,",6
go.,6
fallen,6
broom.,6
laughing,6
packed,6
thrown,6
toad,6
leading,6
worry,6
McGonagall’s,6
dragged,6
for.,6
breakfast,6
We’ve,6
although,6
loudly.,6
hasn’t,6
he?”,6
tired,6
"fire,",6
"Yes,",6
“Where,6
match.,6
holidays,6
reflection,6
"“Ah,",6
“Very,6
"Dursley,",6
"Dursleys,",6
herself,6
figure,6
"other,",6
side.,6
did.,6
dream,6
seats,6
"work,",6
Was,6
breath,6
perfect,6
loudly,6
"loudly,",6
Miss,6
Mirror,6
Ministry,6
cut,6
flash,6
that.”,6
change,6
"luck,",6
From,6
Jordan,6
"letter,",6
"small,",6
card,6
stared.,6
box,6
stars,6
"Wood,",6
then.”,6
"life,",6
hiding,6
tight,6
lurking,6
all?”,6
King’s,6
sir.”,6
lumpy,6
sister,6
"yeh,",6
hide,6
peering,6
Flavor,6
forehead.,6
that?”,6
friend,6
stands,6
brave,6
leg,6
marble,6
unless,6
Look,6
"slowly,",6
alone.,6
vault,6
legs.,6
lemon,6
“Who’s,6
quiet,6
“You’d,6
Lily,6
Jc,6
“Everyone,6
harder,6
fear,6
teeth,6
"Now,",6
by.,6
"about,",6
favorite,6
darkness.,6
chessmen,6
chess,6
"Goyle,",6
Up,6
wizard’s,6
food,6
“it’s,6
cheer,6
they’ve,6
OF,6
walls,6
“Get,6
safely,6
“Snape’s,6
"house,",6
"years,",6
clambered,6
wands,6
touched,6
shoulders,6
slightly,6
passing,6
"off,",6
beneath,6
"huge,",6
"Hogwarts,”",6
"same,",6
“They’re,6
air.,6
Nearly,6
happen,6
"seconds,",6
wonder,6
footsteps,6
ten.,6
hands.,6
arm.,5
stomach,5
path,5
“Oh,5
him?”,5
days,5
us.”,5
players,5
You-,5
abou’,5
owl.,5
crate.,5
spot,5
"us,”",5
grinned,5
“You’ll,5
pieces,5
hours,5
“Snape,5
walls.,5
asleep.,5
"“Sorry,”",5
“that,5
twins.,5
“Why?”,5
older,5
“Only,5
him?,5
grunted,5
grew,5
sprinted,5
inches.,5
